iter	Passed	Remaining
946	2021	113
947	2023	110
948	2024	108
949	2026	106
950	2030	104
951	2032	102
952	2034	100
953	2036	98
954	2037	95
955	2038	93
956	2040	91
957	2045	89
958	2047	87
959	2049	85
960	2051	83
961	2052	81
962	2054	78
963	2055	76
964	2058	74
965	2060	72
966	2062	70
967	2063	68
968	2065	66
969	2066	63
970	2067	61
971	2068	59
972	2069	57
973	2072	55
974	2074	53
975	2076	51
976	2077	48
977	2079	46
978	2080	44
979	2082	42
980	2083	40
981	2084	38
982	2087	36
983	2089	33
984	2091	31
985	2092	29
986	2093	27
987	2095	25
988	2097	23
989	2098	21
990	2101	19
991	2104	16
992	2106	14
993	2108	12
994	2109	10
995	2111	8
996	2113	6
997	2115	4
998	2118	2
999	2119	0
